Sentimen,author,text,publishedAt,likeCount
Negatif,NggakJelasLagi,Nggak jelas lagi deh. Saya *skip*.,1 month ago,10
Negatif,PalingGakMenarik,Ini *podcast* paling gak menarik.,1 month ago,28
Negatif,CapekBatin,Capek batin mendengarkan ocehan ini.,1 month ago,6
Negatif,GakPuasSamaSekali,Saya gak puas sama sekali. Nol.,1 month ago,23
Negatif,SudahGakRelevan,*Podcast* ini sudah gak relevan lagi.,1 month ago,15
Negatif,BikinLapar,Nonton ini bikin lapar karena jadi *stress*.,1 month ago,34
Negatif,TerlaluBanyakDrama,Terlalu banyak drama dan *gimmick*.,1 month ago,12
Negatif,SangatMenyebalkan3,Sangat menyebalkan untuk ketiga kalinya.,1 month ago,29
Negatif,PergiBuruan,Pergi buruan. Saya mau nonton yang lain.,1 month ago,7
Negatif,GakAdaArtinya,Tidak ada artinya sama sekali *podcast* ini.,1 month ago,24
Negatif,PalingBodoh,Ini *podcast* paling bodoh yang pernah ada.,1 month ago,16
Negatif,SokPamer,Sok pamer kecerdasan padahal kosong.,1 month ago,33
Negatif,TidakBermanfaatSamaSekali,Tidak bermanfaat sama sekali.,1 month ago,11
Negatif,MendingCariKerja,Mending cari kerja daripada buat *podcast*.,1 month ago,28
Negatif,SudahBerakhir,*Podcast* ini sudah berakhir di hati saya.,1 month ago,6
Negatif,TidakPerluDitonton,Tidak perlu ditonton. Buang-buang waktu.,1 month ago,23
Negatif,SangatAneh,Sangat aneh dan tidak masuk akal.,1 month ago,15
Negatif,BikinGondok,Nonton ini bikin gondok dan marah.,1 month ago,34
Negatif,TerlaluBanyakTeori,Terlalu banyak teori dan tidak nyata.,1 month ago,13
Negatif,GakAdaEtika,"Om Deddy dan Ferry, gak ada etika.",1 month ago,30
Negatif,SayaKesal,Saya kesal dan benci dengan *podcast* ini.,1 month ago,9
Negatif,PalingMenyesal,Ini *podcast* paling menyesal saya tonton.,1 month ago,26
Negatif,GakMauLagi,Saya gak mau lagi nonton *podcast* ini.,1 month ago,18
Negatif,SatuKata,Satu kata: Jelek!.,1 month ago,35
Negatif,TidakSukaSekali,Saya tidak suka sekali dengan *podcast* ini.,1 month ago,14
Negatif,JahatBanget,Jahat banget *podcast* ini ke penonton.,1 month ago,31
Negatif,NggakEnakDidengar,Nggak enak didengar dan dilihat.,1 month ago,10
