author,text,publishedAt,likeCount
@shiindonesia,"Salah om ded, kalau memandang cina hari ini, coba balik ke awal. Dulu pemerintah ngak sanggup memenuhi kebutuhan hidup masyarakatnya namun karna pemerintahnya otoriter membangun negaranya tampa ada oposisi dan hari ini mereka memetik hasilnya. Juga sama dengan Vietnam. Negaranya dan masyarakatnya sangat sulit apa lagi setelah perang panjang. Berkat pemerintah tangan besi bisa merubah nasib dan hidup masyarakatnya seperti hari ini. 
Di Indonesia jika pemerintah ini berhasil mewujudkan maka ini menjadi satu satunya di dunia. Dan itulah yang membuat pak jokowi menjadi pemimpin yang dihargai dimata dunia karna keberhasilannya. Karna dengan bentuk pemerintah kita yang demokratis dan oposisi sebebas bebasnya ingin mendoungret pemerintah terus menerus",5 months ago,11
@setyaalfitrah8659,Bang ferry Vs Om dady,5 months ago,7
@spectrum925,"Yang paling bener kebijakan seperti korea selatan dan china. Bantulah orang pintar ,orang kaya ,para pengusaha dan konglomerat. Maka negara akan maju. Karena mereka yang mampu membuat lapangan kerja buat masyarakat. Orang miskin dan anak muda jangan di bantu. Tp kasih kerjaan.",5 months ago,16
@albysthryze9888,Kepingin mas Ferry Irwandi & mas Sabrang ngobrol mengenai bagaimana Indonesia untuk menjadi lebih baik. Mungkin bisa ko Raymond chin sebagai moderator yglumayan paham mengenai ekonomi & politik.,5 months ago,
@wiliyantotjiahyadi5218,I see sir Ferry i Click,5 months ago,12
@EndangSumartini-h4n,"🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩BRAVO WAPRESKU GIBRAN THE BEST️
GOOD LUCK️
GOOD JOB️",1 month ago,6
@iamid150,Waahhhh seru nich,5 months ago,4
@Tongsengchannel,Baru kali ini saya lihat podcast pada ngerokok wkwkwk,1 month ago,1
@islamsamodraa,Turunkan Gibran fufufafa,5 months ago,44
@kangden4116,itu kacamata bang ferry kaya pecah gitu emang ga ngerasa tergagnggu toh ?,5 months ago,8
@AntonBack-Up,"Sebenarnya hal yang krusial sekali kenapa ekonomi kita jadi lemah, kurang lapangan kerja, karena supremasi hukum kita lemah, penegakkan hukum tebang pilih, keadilan tidak benar-benar diterapkan, bahkan praktik ketidakadilan dan ketidakberintegritasan itu dipraktekkan langsung oleh pucuk2 pimpinan. Ketidakadaan supremasi hukum tersebut menjadikan para investor enggan berinvestasi dan membangun pabrik-pabrik di Indonesia. Pemerintah, kalian punya tanggungjawab besar untuk menegakkan keadilan.",5 months ago,
@Yha1925,Jngn lupa rencana guru gembul dan om det cepat di agendakan,5 months ago,5
@namasayasilverquen4954,"Intinya media x / Twitter lebih cocok,mudah bikin huru hara",5 months ago,4
@Soniaherayanti3408,"Apa cuma gue yang ngerasa aneh liat monolog mas wapres, jumlah like lebih banyak dari viewer???",5 months ago,80
@dedeibnuromdoni5469,"Betul gw sejalan dengan bang fer, setingkatnya wapres bukan lagi sebatas ngasih pemahaman bonusdemografi lagi, tapi juga ngasih arahan untuk mengajak kaum yang termasuk pada bonus demografi untuk memanfaatkan program yang sudah disiapkan untuk menyambut bonusdemografi itu, dan emang, yg jadi pertanyaannya apa program untuk menyambutnya. Itu sih yang jadi permasalahan dari konten pak wapres",5 months ago,1
@Udin_danidin,"Indonesia dapat bonus demografi....
Tapi kenapa gw susah banget cari kerja, klu gw susah nyari kerja darimana gw dpat duit...
Apa gunanya bonus demografi?????",5 months ago,5
@kancilkanciltamvans824,Undang kdm gubenur jawa barat om,5 months ago,6
@assasblack1,"Haaaiiillll Ferry Irwandiiimenit17:00udah digojlok ketua sidang , tetep lincah lidaah nyaaaa.... Congratzzzz",5 months ago,4
@Moel-r6c,Bebas berpendapat yg penting ilmu dan wawasan untuk masyarakat naik pangkat.,5 months ago,1
@jevaalexiana,Gibran = icon kebodohan masa kini,5 months ago,46
@anjinxkampunx,"prabowo, jokowi dan gibran
tetap di hati orang orang
▀█▀ █▀█ █░ █▀█ █░
░█░ █▄█ █▄ █▄█ █▄",5 months ago,10
@yulistian,keren pertemanan seperti ini..sebenarnya omDed sangat setuju dan sepemahaman dengan pemikiran2 bangFerry..tetapi omDed harus tetap menjaga baju yang dipake..kereenn,5 months ago,12
@RulliesNaeny,Tp jgn bela yg bayar. . . Bela kebenaran kejujuran jaga hargadiri bangsa n negara bermartabat d kancah dunia. . . Bangun kepercayaan. . .,1 month ago,
@estherGbog,Skrng berubah jd podcast buzzer,5 months ago,6
@jangarnonton4835,report masal iklan judol,5 months ago,6
@julsangpetualang3949,Ganti gibran dengan KDM setuju ga??,5 months ago,5
@ahmadwafifathurrahman12,"Pembahasan yang menarik terkait sosial media. Kebetulan saat ini ada proyek kecil"" an bikin sosial media. Bisa ambil tipis"" buat sebagai evaluasi. Thanks to om Ferry Irwandi penjelasan yang sangat bisa dimengerti...",5 months ago,
@andy_fehunk,"7;04Om Deddy : Gibran sedang Berusaha..Om Deddy,, ini kaitan Bangsa,, Negara dan Urusan Hajat Hidup Orang Banyak.. Bukan Urusan Pribadi maupun Keluarga.. Gibran mencalonkan Diri sebagai Wakil Presiden saat ini,, Berarti Gibran itu Mampu dan Serius atas Tugas,, Kewajiban dan Wewenangnya..Bukan sudah jadi Wakil Presiden kok bilangnya sedang Berusaha,, itu Pernyataan Salah menurut Saya Pribadi..",5 months ago (edited),4
@HarrySaputra-k7y,Apakah Gibran layak dan pantas jadi Wapres.?,5 months ago,6
@yokipop9467,13:32suara nya berubah,5 months ago,14
@andersaidcahnnel,"om undang korban2 pekerja scam di myanmar, asli ngeri sumpah om. baru liat kmarin di podcast kamar jery. ada yang komen punya pengalamn kerja scame sampe merarikn diri berenang jam 1 malam dari Myanmar ke Thailand untuk kabur,. dan masih banyak yg blum bisa kabur.",5 months ago,
@jhonsonsitorus9448,Bingung Gibran selalu jadi sasaran buat di jatuhkan . Padahal dia wakil... Baru di kali ini. Wakil presiden adalah jabatan yang seksi...,5 months ago,8
@pergimenghindar,Gibran itu siapa?,5 months ago,7
@daunbiru2534,"Gw ga peduli sama pemimpin yg pinter ngomong gw butuh yg mau kerja mau turun ke bawah
Cek aja pemimpin2 yg pinter ngomong kaga ada hasilnya, kaga usah jauh ferry aja kaga bisa bangun daerah asalnya padang, karena apa? karena cuman pinter ngomong",5 months ago,4
@manatapadvent2582,"Hal yang terpenting dari kemajuan suatu negara itu adalah hukum dulu diperbaiki, karena hukum itu jantung dari keadilan dan kepastian segala hal yang akan dikerjakan, kalo kita masih banyak korupsi, mafia2 di sektor apapun masih merajalela, kita mau ngapa2in susah, mau bkin pendidikan yg baik, ada mafia, mau bkin industri yg baik ada mafia, di pemerintahan mau bkin kebijakan2 yg bagus2 ada aja yang halang2in, kalo hukum tidak ditegakkan, semua itu cuman omon2. Gaada 1 negarapun di dunia ini yang hukumnya jelek tapi dia bisa maju",5 months ago,
@dellaapriliaprisanti5541,"mas ferry, logical frameworknya tentang GDP, Produktivitas, dll sangat terbentuk..Kerangka Ekonomi Makro nya sudah terbentuk, enak dengar penjelasannya. kedengeran bgt org perencana nya...",5 months ago,
@dimaswisnu6392,Ditunggu bang fer. Yg beres-beres masuk ke pemerintahan,5 months ago,2
@srimulyati4675,Wapres yang tertukar ..ini yang pinter Ferr Irwandi jadi konten kreator..,5 months ago,1
@Ahsantany,"Bang Deddy, Bang Ferry, gue bener-bener respect sama podcast kalian—isinya selalu dalem, bikin mikir, dan ngasih banyak insight buat anak muda. Ada satu hal kecil aja yang pengen gue sampein: kalau ngobrol sekuat itu disertai rokok, kesannya ikut kebawa juga. Padahal banyak anak muda yang ngefans, otomatis gaya di layar bisa jadi contoh. Bayangin kalau energi positif kalian hadir tanpa asap—pesannya pasti lebih kuat, lebih bersih, lebih keren. Generasi sekarang butuh panutan yang sehat, dan gue yakin kalian bisa jadi itu. Gue tetap dukung, tetap respect, dan berharap kalian terus jadi inspirasi yang bikin masa depan lebih kuat.",1 month ago,2
@torayantondoku3662,Elon Musk sendiri menyebut Twitter sebagai “alun-alun digital utama untuk kebebasan berbicara” dan ingin menjadikannya platform yang lebih terbuka,1 month ago,1
@torayantondoku3662,"Data di twiter memang harta karun sebenarnya dan itu juga bisa dimanfaatkan oleh kita. Bagi pebisnis Data Twitter bisa dimanfaatkan untuk pengembangan AI, iklan yang lebih presisi, dan integrasi dengan produk lain seperti Tesla atau X (eks Twitter).Musk juga telah membuka sebagian data Twitter untuk pelatihan model AI miliknya, termasuk xAI",1 month ago,1
@saidkdi3421,"Intinya ada tahapan, regulasi, edukasi, dan transparansi yang jelas. 
Jangan ujug"" ada, ujug"" diresmikan, dan dampaknya ujug"" terasa.",5 months ago,
@huntdusk,"jadi yang gw tau emang beberapa sosmed emang harus nyediain ""backdoor"" ke pemerintah, dimana pemerintah bisa akes data yang di input user pas register, data IP devicenya, jaringan Wi-Fi ( ini bisa buat bantu track dia provider apa, domisili region mana), ya tujuan gini bisa doxing orang. kalo perusahaan bagus macem Apple kalo pernah denger sampe Apple aja ga ngasih backdoor enkripsi iOS buat oprek data di Iphone pas di minta sama pemerintah Inggris. tapi tau sendiri Indonesia dengan wakil presiden dan rekam jejaknya di kaskus. keliatan kualitas nya kaya gimana",4 months ago,
@mayyapurnomo1995,"Ini hanya panggung, sandiwara atau tidak hanya mereka berdua yg tau..
Karna mereka orang yg 1 cerdas dan yg 1 lg mencerdaskan..
Yg 1 punya batasan berbicara karna jabatan dan yg 1 lg punya kebebsan berbicara suara warga sipil ..",5 months ago,
@Rw-D,"OM Dedi itu bisa kaya emang karena dia visioner dia bisa ambil peluang dimana orang lain ngak kepikiran..... dia tau mana chanel2 yg akan besar dia kasih Ivestasi disitu... waktu kecil 100K... giliran Gede chanel2 itu yg akan Bayar Dedy otomatis... keren juga om Dedi ini.... Fery, Kasih solusi, podcast nya di Prass Teguh, ...",5 months ago,
@SAMart758,Semoga Allah melindingi orang orang Indonesia yang berani speak up.Amin,5 months ago,
@tuyulro,"Gibran harus undang ferry irwandi dan rocky gerung untuk berdiskusi mslh bangsa kedepannya, anda msh sangat bsa memperbaiki citra dan tentunya memperbaiki negri ini, jika mau, kesampingkan mslh politik pikirkan masa depan bangsa ini tolong",5 months ago,
@MarkIX-u2e,"Tunggu dulu ini bukan masalah seninya tapi tentang siapa yang membahas, kalau seorang wapres ngomongin kelinci itu artinya dia sedang menata ekosistem dengan segala sumber daya yang bisa dia akses tapi kalau seorang peternak ngomongin kelinci itu cakupannya hanya sekandang kelinci miliknya.. dalam hal ini sangat mungkin kalau cara penyampaian sang peternak lebih menarik untuk di dengar. Lucu untuk membandingkan keduanya, yg ingin orang-orang ini capai adalah mengatur cara pemerintah bekerja sesuai dengan keinginannya, mereka bermimpi bisa melakukan segala hal dengan kecerdasannya yang standar",5 months ago,
@Ar_Andik,"Sekarang udah gak suka close the door tpi kesini lagi gara gara mas ferry , sekarang waktunya menikmati tontonan .",5 months ago (edited),
@tok_tv7777,"Saya mantan subscriber CTD, lbh enakan nnton mas ferry lbh  mantap ilmunya",5 months ago,2
@pangribgrace,"Kita semua sebagai masyarakat memang harus kritis nan logis dalam bernegara. Tapi melihat apa yang terjadi hingga saat ini, revolusi mental itu yang pertama diperbaiki dengan edukasi yang benar.

Pintar, kaya raya, jabatan bukan penentu mental seseorang jadi sehat dan baik tapi KESADARAN PENUH dari masing-masing personal.",3 weeks ago,
@titojustitiajustitia8112,Saya kira pemerintah masih lupa bahwa punya potensi sumberdaya yang luar biasa yaitu sektor kelautan perikanan dan pertanian kalau ini digarap serius tuntas hulu sampai hilir selesai masalah bangsa ini,1 month ago,
@suprawotomertowijoyo5106,"Om Dedy yth, tolong undang Bayu Diningrat, tokoh herbal dan dunia organik yang memadukan pertanian dan peternakan. Beliau menjelaskan hubungan badan sehat dan makanan yang sehat dan cara membangun pertanian dan petrnakan agar untung dan tidak bergantung pihak manapun.",5 months ago,
@agussulaksana9909,"Menurut saya pemerintah mau otoriter pun gpp yang penting tujuan nya untuk mensejahterakan rakyat, bukan untuk kepentingan kelompok atau oligarki, kalau untuk kepentingan kesejahteraan rakyat pasti rakyat mendukung",5 months ago,
@chuuninoob5366,"32:38gini loh bahasa awamnya. Harassment dan doxing dalam konteks ini motif utamanya mengintimidasi, orang yang biasanya vokal beropini itu punya keluarga jarang yang tidak punya keluarga, dan efek 'keluarga saya tidak aman jika saya lanjut vokal' adalah tujuannya, biar dia berhenti atau menjadi lebih hati hati saat ngomong yg mana itu merembet ke mentalnya yg bisa jadi paranoia dll",5 months ago,
@atharresentika2628,Kelihatan sederhana obrolan y tp ngena bgt pelajaran yang bisa di ambil ..,1 month ago,
@Safrijon17,Alangkah baiknya punya ilmu digunakan untuk kebaikan bukan untuk membahas seseorang tapi gunakanlah untuk membangun negara ini,1 month ago,
@dimartv2799,saya setuju sama ferry. elon ini memang cabal paling gede di x terutama kalau ngomngin soal crypto.,5 months ago,1
@arismunandaralmi,Ngehindar bgt si om waktu ferry bahas buang² anggaran ke militer,4 months ago,1
@TatiainGreece,"Sebesar nama Pak Harto jadi President RI puluhan tahun tapi beliau tidak pernah izinkan anaknya jadi WAPRES, cuma Mbak Tutut yang jadi menteri cuma 1 periode itu di usia sangat matang bukan plongo plongo",5 months ago (edited),
@edison2487,"Setuju..
Kalau ditaktor itu bisa mensejahterakan Rakyat, saya setuju sekali..
Kebebasan berbicara & HAM ada baiknya di singkirkan dulu.. 

Ferry cukup objective..
Dia butuh kebebasan tapi tetap lebih mementingkan kesejahteraan, walaupun harus mengorbankan kebebasan..
Gooo Realistis Ferry",1 month ago,
@karinaradhita9527,Jadi agak halus hahaha gemes bgt pas bagian ini to the point aja dah bg,5 months ago,
@nathanthatan_bumer6894,Ferry ini cuma mau rakyat nya makmur dan kaya kaya dan berkecukupan tapi gak bisa liat keadaan kalau SDM kita ini masih bobrok. Mau di apakan tetap aja kemiskinan dan rakyat yang bodoh itu gak akan bisa hilang..,5 months ago,1
@akbarahmad-j2q9w,"part yang di tunggu tunggu , setelah guru gembul terus di lanjut sama Ferryirwandi , best pokonya",5 months ago,
@returo7297,"Kureng adalah slang dari ""kurang keren"", artinya tidak memuaskan atau kurang bagus, biasanya soal gaya atau penampilan.",5 months ago,1
@ordinary_indonesian,"Setuju dengan pendapat bahwa demokrasi adalah kendaraan untuk menuju masyarakat sejahtera.
Sejarah mencatat bahwa kita pernah mengalami masa keemasan pada masa kerajaan Majapahit, dimana sistem yang berjalan adalah bukan demokrasi.
Jadi masalahnya bukan sistem apa, tapi apakah yang menjalankan sistem itu kompeten?",5 months ago (edited),
@Ishtarkelana,"Nonton ini sambil makan pisang goreng keju dan minum es kopi ameriano, kalo bisa ttp di titik nol tuh ternyata enak banget yaa, indahnya perbedaan",5 months ago,
@PeriapunyaCERITA,"Tolong dong buat yang termaksud buka kuping dan buka matanya biar negri ini sejahtera,demi negri ini ko bukan demi 1 sosok saja DEMI NEGRI.!",2 months ago,
@GouwEnglan,Terimakasih Tuhan sdh meninggikan dr yg d rendahkan,3 weeks ago,
@ziaudhel854,Kita mendukung ferry irwandi untuk tetap brsuara,5 months ago,
@salmanalfarisi-r1q,"Pernah denger pepatah "" merendahkan orang tidak akan membuatmu tinggi""",5 months ago,
@SatriaGigieh,Kesini karna rakyat bersuara..feri irwandi top cadas,1 month ago,
@rumayumna_channel,atur negara ini Insya Allah gk ribet asal pejabat nya jujur dan tidak korupsi.,5 months ago,
@yaenaryaenas9023,"ayo om Ded,, kerahkan persiapan seluruh followers mu di manapun didunia ini utk menekan 2 Dalang sejati nya (bukan Boneka yg diulang² soawbut sbg Dalang)",1 month ago,
@maulanaaditya1027,om ded mari berbicara masalah pendidikan inklusi di indonesia om,5 months ago,1
@AbdRahman-v7m,"Gak tau sudah negara ini mau jadi apa ?
Pemimpin mana sudah yg bisa di percaya di Indonesia.
Wakil presiden sudah berapa bulan menjabat,tapi apa yg bisa kita harapkan.",5 months ago,
@Mentarichannelofficial,"gw si setuju bgt omded klo negeri ini butuh lapangan pkerjaan sbnyak2 nya krn bner2 lg susah bgttt rakyat d bawah ,tolong bilangin pak president skrg, ekonomi rakyat d bawah bner2 lg sulit bgt gak ada kerjaan dn perputaran ekonomi ky dagang itu jg gak secepat zamn dulu , bner2 susah bgt omded tolong y smp kan ke president kami",1 month ago,
@jpmrblood,"Bapak-bapak bangsa kita dulu berkelahi di Konstituante, tapi begitu rehat, mereka ngopi bareng. Ya, namanya politik boleh berbeda. Coba politisi kita bisa kayak Oom Ded dan Oom Ferry, bisa haha hihi walau beda pendapat.",5 months ago,
@yennsofia31,MASUKAN YG BAGUS DARI NADA SUMBER YG KNOWLEDGEABLEBRAVO!!,5 months ago,
@mancingnderni4752,Dari sekian banyak tamu yg dateng ke podcast om Ded paling suka Ferry Irwandi ama Dzawin Nur sih,5 months ago,
@DombaLiarr,Kesini karna ferry,3 months ago,1
@joeyjonathan30,"Rakyat Indonesia selama isi otak penuh, perut penuh, dompet penuh. Kami akan bahagia dengan pemerintah kami 🫶",5 months ago,
@buncul1738,"Undang beatboxer indonesia om ded ADI KERANG namanya, dia baru tampil di France sudah mengharumkan indonesia di beatbox dunia",5 months ago,
@joyful88812,"1tank jutaan $. Dihancurkan drone murahan spt di ukraine. 
Avg IQ 78 beli byk tank. Mmg jongkok",5 months ago,2
@RiogaPriyambada,"Kalau kampusnya jadi 15 tahun kemudian, gw kuliah di kampus Ferry Irwandi umur 45an berarti",5 months ago,1
@genzfiancial,"WOAH GAGAL FOKUS KACAMATANYA OM DEDDY, YANG KELIATAN FRESH BANGET DAN KACA NYA JUGA JELAS JERNIH",5 months ago,
@foziyashaikh7134,𝐆𝐀𝐑𝐔𝐃𝐀𝐇𝐎𝐊𝐥sudah terdaftar Resmi,5 months ago,119
@JusttFan,"Saya rasa ferry irwandi ini bukan musuh utama pemerintah, tapi dia ingin mencerdaskan bangsa Indonesia ini dengan ilmu yang dia miliki.",5 months ago,
@rachmawijaya322,Cuma grgr ada ferry aja nih mampir ke podcast ini lagi. Kecewa bgt om Ded buzzer,5 months ago,
@vibeswithrosie_,Bang ferry lu pinter banget gue demen sama elu🫶cuman lawan bicaranya bikin gemas,5 months ago,
@mohdermawan,"Ini mah bukan podcast, tapi Bung Ferry lagi audiensi sama perwakilan pemerintah.",5 months ago,1
@valdestwenty177,"Ngedengerin 2 orang pinter ngomong aja nambah Ilmu. Ini pentingnya milih tongkrongan, biar hidup lu nggak stuck disitu-situ mulu.",5 months ago,
@royhanazkal6226,"ok, rangkuman untuk hari ini demokrasi hanya untuk penghasilan yg stabil sehingga gk bakal ribut krna pendapat tdk mmengaruhi penghasilan, wlaupun pandangan brbeda mreka tdk prnah ribut antar sesama yg dikarenakan itu hanya pikiran dlam obrolan, kek pendiri indonesia terdahulu wlapun mreka brtengkar di rapat mreka msih bisa boncengan sepeda stelah rapat, tdak ada kata pundungan stelahnya.
mantab podcast nya",5 months ago,
@Wafi012,11:12pengalihan isu kah..,4 months ago,1
@yellowflash1240,"mungkin kalau pertahanan, lebih baik perbanyak drone seperti di china, lebih efektik untuk skala kawasan yang luas..",5 months ago,
@divinestaff9869,"Ajg ini berasa banget vibes peaky blindernya bgstsahabatan dan tetep bisnis bareng walaupun beda jalan, posisi, dan opiniibarat musuh yg saling bendera putih aja demi bisnis",5 months ago,1
@ZaidanSari-y6y,"Bukan salah pemerintah .. itu SDH ketahuansibalik demo Indonesia gelap , petisi DLL untuk memecah belah rakyat ..dibayar semuanya",3 months ago,1
@Dominus_Potatus,"32:25Orang internet semuanya juga dilakukan Pak Deddy.
""Ngapain orang di Internet ngata-ngatain orang? Apa untungnya?"" Tidak ada yang paham, antara memang serangan terstruktur atau memang gangguan jiwa.",5 months ago,
@djadjanesia,"Pemerintah ga akan mau tutup twitter, karena cuma disitu mereka bisa memantau dengan baik tanpa perlu jebol tembok permit. Ferry juga jangan menghasut penghuni twitter buat nyebar ke platform2 lain, pemerintah gimana mantaunya nanti?",5 months ago,
@eriksudiyono9974,"Yang mau go to jepang 
Jempol nya sini",5 months ago,1
@Warjo888,"Gue yg kurang update tentang kinerja pemerintah cuman bisa berharap pak Prabowo mewajibkan para pembantunya bikin channel masing2 yg isinya tentang program dan hasil kerjanya selama ini..klo program bersifat rahasia ya hasilnya aj lah biar ada greget tambahan mereka..yg channel nya sepi upload tannya berarti kan blm banyak kerjaannya""",5 months ago,
@nolkomatujuh6935,sejak menit 17 arah pembicaraan dibengkokkan ke hal-hak yang tak lagi fokus ke monolog Gibran dan pemerintah. Ajaib. ajaib dan licin.,5 months ago,
@Muyadhil,"Di menit 15.00 Ferry mengiyakan semua pernyataan omnded dan di akhiri dengan , terus kenapa negara lebih mengurus aparat?. Om ded langsung ganti topik ke perang dagang.",5 months ago,
@jakjekchannel1650,karena ada bung feri saya nonton chanel ini lagi,5 months ago,1
@masbrodeewo1228,"Mengikuti jejak Ferry Irwandi,seru mantap mantap jooz",1 month ago,
@AsrinaAsniah,Awak bangga sebagai orang Minang...,1 month ago,
@pertamaxturbo9320,Yg jadi wapres itu Fery mestinya bukan Gibran,4 weeks ago,1
@hamsterhitam4432,"intinya adalah, jangan bersuara ""JIKA"" hati dan mental kita belum siap untuk bertarung di kolam raksasa. dan ini sudah sering terjadi.",5 months ago,
@suminahahmad689,Bang ferry irwandi best banget pola pikirnya keren gue salut,5 months ago,
@aj4722,"Pertanyaan buat dedy....
1.Apakah menurut Dedy, Gibran mempunyai kapabilitas sebagai wakil presiden? 
2.Coba misal berpikir ekstrem,dimana itu ada di konstitusi, 
Misal terjadi sesuatu kepada presiden yaitu Prabowo,secara konstitusi wakil presiden naik menjadi presiden,menurut Dedy gimana?",5 months ago,
@miftahulihsan4888,"Ada UMKM usahanya tutup, ownernya ditahan & ditangkap polisi gara2 produknya ga ada label & tgl kadaluarsa. Bisa angkat kasus ini om? dari Kalsel",5 months ago,
@yulieajjach952,"Ajak dia ke pemerintahan om, biarkan dia selesaikan masalah yg dia anggap jadi masalah,biar dia belajar.",5 months ago,
@hilmaabdulrohman423,"orang sekarang kuatir privasi gak aman gara2 medsosnya bisa dipantau, sementara nenek gue yg hidup tentram di kampung bilang, ""pesbuk? tuiter? intagram? panganan opo kuwi nang?""",5 months ago,
@marsudi2901,"Ferry irwandi,itu tokoh muda yg kreatif dan berani,jujur",3 weeks ago,
@agustinussilitonga9663,Suka gaya Pak Dedy ...halusss banget ....padahal A1 udah.,1 month ago,
@ironds974,Perbedaan dan ngobrol diskusi seperti ini yg seru bukan debat kusir disosmed,5 months ago,
@dominictorretto5985,"Terakhir nonton nih channel pas masih 10 jutaan, eh sekarang udah 24, nonton gara-gara ada bung Ferry",5 months ago,
@anggoard,"kalo mau pejabat pemerintah mau gerak cepat, hrs di up sm temen² influencer ctg biru",5 months ago,
@AJ-th4vm,"Next Time Undang HERCULES OM, Gali Persepektif dia sebagai Ormas supaya tetap Bermanfaat Buat Bangsa, After that Invite KANG DEDI MULYADI, Gali Juga Perspektif dia, Merespon Ormas dan Peluang Investor Asing masuk, Tapi tetap menguntungkan Bangsa sendiri, Supaya buat Contoh Kepala daerah lainnya.
Terima Kasih",5 months ago (edited),
@zeronextzzz,"Tambahan, WNA yg buka toko di ecommerce indonesia jg byk dan ilegal. 
Ditambah beberapa dr mereka adalah factory, bkn individu biasa.",5 months ago,
@sofisofi6454,"Krna konten Gibran kita anak² muda jd bisa tau   dan tertarik sama hal² yg berbau politik..krna klo cuma ngandelin tv ..ank² zaman skrng jrng nontn tv...rata² hp semuamau itu konten dia kurang atau gimana..yaaah menurut kami anak² muda konten pak gibran mudah kami pahami dan menarik...
Yg penting krja dia nyata gak kyak si anu ngomong² kritik² ajaaa tp gk berbuat apa²",5 months ago,1
@andryowyeh3531,"gw seneng ada ny ferry,, seenggak ny bakal ada oposisi di negara ini sama pemerintah kyk rocky gerung",5 months ago,
@samsulhidayat8911,"Sangat menarik podcast kali ini.....,,
Om mungkin boleh undang pak Onno W. Purbo",5 months ago,
@langityangadadibumi6782,16:15Cerdas banget counter backnya wkkw,5 months ago,
@whisnuajie,Ketawa basa basi doang kalo ngobrolin Pemerintah bareng Deddy mah.,5 months ago,1
@abuh9537,Saran Om Ded. Biar om Ded podcast nya rame undang pak mantan. Biar sesekali badmood di podcast,5 months ago,
@galangfitriani,"Musuh utama pemerintah bukan Bpk Gibran, bukan Bpk Joko Widodo, bukan oligarki, bukan Mas Roy Suryo c.s. bukan para pengkritik seperti bung Ferry, Bung RG, Bung RH, dan bukan pula rakyat Indonesia tetapi aturan, uu, atau hukum Indonesia yg derajatnya masih sangat rendah sehingga gampang sekali dipermainkan, direkayasa, dijungkir balikan oleh siapapun yang derajat kemanusiaan dan keadilannya sangat rendah. Pertanyaan besarnya : siapakah tokoh bgs Indonesia yg mampu mengangkat derajat aturan, uu, atau hukum Indonesia ke level tertinggi sampai menjulang ke langit? Kalau ada berarti orang tersebut memberikan sumbangan yang sangat besar kepada pemerintah,bangsa dan Negara Indonesia. Cuma urun rembug saja tidak menggurui takut kuwalat, bung.",4 months ago,
@fiwulanda1930,"Bang ferry terimakasih , banyak bgt ilmu dan pengetahuan dari bang ferry , sehat selalu dan tolong teruskan perjuangan baik ini",5 months ago,
@MrBen-dc5lz,Sederhana nya Buat kestabilan keamanan nasional dan stabilitas ketahanan pangan baru berbiacara lebih lanjut tentang kemajuan suatu negara jadi logika nya jangan dibolak balik ya ....,1 month ago,
@Level_Zee,"Sudah lama gk nonton podcast ini, kesini karena bang fery saja",5 months ago,1
@ninaosie6286,Content ini terkesan yg rajin complain pemerintah di twitter harus keluar dari twitter krn data para complainers pemerintah di twitter nggk aman! so far perbincangan ini fix or fiktif cuma drama? terkait unsur politis..a lots of questions mark for me.,5 months ago (edited),1
@EndangSumartini-h4n,"EMANGNYA KAMU ITU SIAPAAAKAMU BUKAN SIAPA-SIAPA SIAPA️ 
APAAA YG PERNAH KAMU PERBUAT UNTUK BANGSA TERCINTA ININOL ... NOL ... NOL️",1 month ago,1
@Rayyyaw,Indonesia bebas bicara ga juga sejahtera pun jauh dikata,3 months ago,1
@EagerTropicalSailboat-ys5eo,Ferry Irwandi …SEMANGAT …pertahankan terus AKAL WARAS !,5 months ago,
@TanjiroKoto,"Nah ini menarik. good job om botak.
saya dah lama ngikut ferry, dia bagus, sbagian besar yg dia bahas jg bagus.
tp 1 yg saya pahami, apa yg disebut sama dia TIDAK serta merta benar. 
opini dia tidak selalu benar. kalo anda2 dah lama ikut dia pasti paham maksud saya.
nice podcast",5 months ago,
@bobbyricardo9667,"Hei Deddy Corbuzier, statement anda yang mengatakan bahwa adanya kemungkinan seseorang yang ingin merusak pemerintah, wait, merusak pemerintah?? Bukannya pemerintah itu sendiri seringkali melakukan blunder yang merusak reputasi, GCG  dan integritas mereka ya bapak Deddy Corbuzier? 

Konteks: sekitar menit50:15",4 months ago (edited),1
@yuliachan-v7u,"Ferry irwandi tu vibe muka,fitur wajah,pemikiran,kecerdasan plek ketiplek sama Alvaro Morte si Profesor di Money heist.Sapa yang setuju (OOT)",5 months ago,
@chenoLan,Abang2an genzi. Wkwkwkwk,5 months ago,1
@RApopo6996,1:04:07The best conclusion dari masalah sistem Character Building,5 months ago,
@yadikumizh7773,"Ekonomi harus direstrukturisasi, misalnya ongkos tukang cangkul sehari sampai pkl 12 siang berapa ongkosnya, tukang kayu, tukang tembok, laden, ongkos pembantu sebulan, gajih pns gol 1A brp dsb, harus disusun semuanya dibuat bahagia untuk tiap propinsi",1 month ago,
@desyidawaty4961,"Dua orang brilliant.
Aku suka mendengarkan, karena bermutu",2 weeks ago,
